Name,Total population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Median age,Median household income($),Male population,Female population,Total educational attainment,High school graduate,Bachelors degree,Masters degree,zip code tabulation area
ZCTA5 63339,1148,1092,3,0,20,0,2,31,37.5,68625,636,512,747,365,35,39,63339
ZCTA5 63341,3628,3438,4,0,0,0,76,110,48.2,139293,1863,1765,2550,693,146,445,63341
ZCTA5 63343,4754,4452,84,10,5,0,4,199,35.7,60938,2290,2464,3096,1187,145,177,63343
ZCTA5 63344,1522,1464,10,3,0,0,9,36,42.9,67731,735,787,1027,407,93,43,63344
ZCTA5 63345,393,364,13,9,0,0,0,7,45.3,39965,161,232,311,118,29,0,63345
ZCTA5 63347,2225,2173,34,0,0,0,0,18,46.5,85067,1220,1005,1571,622,195,27,63347
ZCTA5 63348,10555,10179,176,0,0,0,15,185,43.2,105495,5370,5185,7249,1677,691,440,63348
ZCTA5 63349,1910,1785,86,0,7,0,7,25,52.2,66579,971,939,1435,833,79,14,63349
ZCTA5 63350,659,649,0,0,2,0,3,5,34.9,78214,348,311,424,170,47,5,63350
ZCTA5 63351,1581,1477,27,0,0,0,14,63,47.0,78125,763,818,1203,403,54,17,63351
ZCTA5 63352,1150,1082,40,0,0,0,9,19,52.1,52802,467,683,878,375,121,2,63352
ZCTA5 63353,5025,4469,68,0,15,2,210,261,38.7,50196,2694,2331,3314,1351,212,81,63353
ZCTA5 63357,6899,6571,63,1,158,0,15,91,36.8,83326,3602,3297,4410,1460,556,138,63357
ZCTA5 63359,1396,1366,1,0,0,0,0,29,39.3,70417,626,770,963,466,85,59,63359
ZCTA5 63361,4725,4352,138,87,19,0,7,122,40.6,58344,2345,2380,3403,998,204,169,63361
ZCTA5 63362,8699,8174,194,19,28,0,3,281,32.2,83916,4384,4315,5491,1752,587,249,63362
ZCTA5 63363,1162,1115,1,0,0,0,8,38,47.7,48819,555,607,894,294,98,25,63363
ZCTA5 63365,66,59,0,0,0,0,0,7,62.3,38393,30,36,49,26,7,0,63365
ZCTA5 63366,52746,45167,2342,27,1415,0,751,3044,39.7,91698,26496,26250,37022,9245,2841,3826,63366
ZCTA5 63367,27371,23789,1466,15,476,0,247,1378,39.8,131657,13747,13624,18566,2677,1691,2570,63367
ZCTA5 63368,46124,39151,1845,36,2525,34,554,1979,37.4,116471,22726,23398,30948,4903,2766,4368,63368
ZCTA5 63369,2627,2542,73,0,8,2,0,2,36.3,84882,1299,1328,1747,539,227,106,63369
ZCTA5 63373,687,648,7,0,3,0,0,29,45.8,85250,340,347,492,224,31,57,63373
ZCTA5 63376,74967,66129,3500,75,1415,41,275,3532,40.3,93140,36081,38886,51973,10913,4963,6060,63376
ZCTA5 63377,3500,3390,50,0,29,1,0,30,45.3,81014,1769,1731,2545,932,178,128,63377
ZCTA5 63379,27318,24971,754,44,45,72,220,1212,36.7,84766,13574,13744,18367,6469,1837,853,63379
ZCTA5 63380,929,753,53,3,9,0,59,52,31.9,51607,451,478,538,207,62,12,63380
ZCTA5 63381,666,615,0,0,0,0,0,51,38.1,-666666666,407,259,372,111,20,17,63381
ZCTA5 63382,4167,3395,453,56,19,4,19,221,40.0,50500,1992,2175,3121,1122,223,102,63382
ZCTA5 63383,15041,13915,167,92,0,0,77,790,41.3,71311,6900,8141,10426,3895,682,397,63383
ZCTA5 63384,2009,1854,16,0,0,0,0,139,43.7,63333,1114,895,1323,377,153,91,63384
ZCTA5 63385,48535,42960,2699,17,952,0,217,1690,36.9,109802,24727,23808,30804,5392,3099,3222,63385
ZCTA5 63386,522,510,7,0,0,0,0,5,36.5,99773,253,269,367,126,22,7,63386
ZCTA5 63387,107,106,0,0,0,0,0,1,43.5,93333,76,31,84,57,1,0,63387
ZCTA5 63388,859,781,78,0,0,0,0,0,53.6,65774,501,358,723,186,93,51,63388
ZCTA5 63389,6885,6456,3,4,49,0,53,320,37.8,80259,3595,3290,4572,1699,420,198,63389
ZCTA5 63390,10982,9406,505,96,12,0,197,766,41.8,76045,5933,5049,7922,2193,630,410,63390
ZCTA5 63401,21167,19017,1322,16,134,10,40,628,39.5,59395,10104,11063,14300,4841,872,1063,63401
ZCTA5 63430,384,348,0,13,18,0,0,5,38.8,-666666666,162,222,234,74,19,32,63430
