Name,Total population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Median age,Median household income($),Male population,Female population,Total educational attainment,High school graduate,Bachelors degree,Masters degree,zip code tabulation area
ZCTA5 00601,16834,14170,348,14,23,0,1118,1161,44.0,17526,8337,8497,12295,3467,1622,237,00601
ZCTA5 00602,37642,18479,555,47,48,0,1476,17037,45.2,20260,18405,19237,28321,6276,3377,1181,00602
ZCTA5 00603,49075,36216,1719,32,28,0,6852,4228,45.0,17703,23813,25262,36307,10700,3041,2132,00603
ZCTA5 00606,5590,3721,9,0,0,0,1559,301,46.2,19603,2723,2867,4118,1291,186,129,00606
ZCTA5 00610,25542,11182,576,2,0,0,1635,12147,44.4,22796,12317,13225,19085,5279,2467,846,00610
ZCTA5 00611,1315,765,14,0,0,0,478,58,48.1,22525,667,648,1019,256,81,39,00611
ZCTA5 00612,63312,23571,1775,36,560,0,16794,20576,44.4,22305,29745,33567,46409,13006,4974,2232,00612
ZCTA5 00616,9625,3512,626,0,147,0,2298,3042,46.7,23652,4515,5110,7396,2384,775,187,00616
ZCTA5 00617,22573,8496,754,38,360,0,4342,8583,42.6,20328,10709,11864,16397,5265,1688,796,00617
ZCTA5 00622,7577,3409,419,0,0,0,2713,1036,50.2,22818,3334,4243,6112,1276,865,361,00622
ZCTA5 00623,39406,16400,1790,177,206,0,15555,5278,45.4,23132,18869,20537,29115,6484,2875,1268,00623
ZCTA5 00624,21648,16052,611,0,25,0,3823,1137,40.1,20101,10612,11036,15095,3914,2166,425,00624
ZCTA5 00627,32733,26687,542,43,0,0,3421,2040,44.5,23263,15525,17208,24290,5421,4377,1141,00627
ZCTA5 00631,1431,1377,8,0,0,0,43,3,42.1,15658,616,815,1100,144,142,59,00631
ZCTA5 00636,1057,603,0,0,0,0,385,69,29.7,-666666666,576,481,577,212,62,23,00636
ZCTA5 00637,22882,14793,123,79,11,0,5332,2544,45.1,20568,10634,12248,16145,5127,1618,615,00637
ZCTA5 00638,17605,9019,594,247,77,0,1388,6280,45.6,19796,8553,9052,13117,3683,1271,238,00638
ZCTA5 00641,24299,11942,314,0,19,0,10568,1456,45.9,17673,11497,12802,17971,4340,1932,607,00641
ZCTA5 00646,35926,16043,2257,10,0,0,2320,15296,42.5,31330,17389,18537,25704,6403,2399,1655,00646
ZCTA5 00647,4702,2337,287,0,4,0,1893,181,46.4,17143,2285,2417,3191,1335,341,40,00647
ZCTA5 00650,13767,6258,81,0,186,0,2396,4846,41.1,20363,6578,7189,9756,3212,1020,210,00650
ZCTA5 00652,3924,1595,74,38,49,0,471,1697,44.5,26148,1799,2125,2947,718,312,153,00652
ZCTA5 00653,8980,5668,428,15,0,0,2270,599,44.7,13777,4460,4520,6567,2321,753,235,00653
ZCTA5 00656,18121,13909,343,32,82,0,2831,924,44.9,21456,8610,9511,13307,3505,2243,662,00656
ZCTA5 00659,37066,28807,1242,84,4,0,3613,3316,44.7,23899,17719,19347,27842,6572,4936,1793,00659
ZCTA5 00660,15483,3249,381,0,0,0,11047,806,48.9,22556,7162,8321,11905,3304,938,622,00660
ZCTA5 00662,40480,22574,3146,51,35,0,9915,4759,44.3,20283,19481,20999,30227,8906,3536,1660,00662
ZCTA5 00664,14967,8056,560,0,0,0,5801,550,41.9,17966,7355,7612,10589,3560,643,431,00664
ZCTA5 00667,23370,9936,610,0,0,0,10292,2532,47.4,16889,11400,11970,17674,4479,2249,544,00667
ZCTA5 00669,27529,23993,621,15,0,0,1851,1049,44.5,18838,13676,13853,20357,4536,2477,991,00669
ZCTA5 00670,8746,4902,197,0,0,0,3077,570,44.0,16644,4297,4449,6194,2061,609,132,00670
ZCTA5 00674,39385,16294,1040,26,114,0,5356,16555,44.0,20088,18322,21063,28883,8547,2574,1274,00674
ZCTA5 00676,36683,28106,1703,111,0,0,4045,2718,42.2,20160,17935,18748,26407,7619,2096,1130,00676
ZCTA5 00677,15304,6030,344,0,0,0,725,8205,48.7,26404,7080,8224,11840,2667,1803,436,00677
ZCTA5 00678,25039,17356,893,79,0,0,3593,3118,44.4,19558,12401,12638,18679,5113,2964,783,00678
ZCTA5 00680,43173,7550,978,20,33,0,31956,2636,45.6,16535,20875,22298,30792,7305,2270,1426,00680
ZCTA5 00682,30414,4887,847,5,5,0,22299,2371,38.0,17385,14278,16136,19482,4647,1219,1213,00682
ZCTA5 00683,29547,18986,339,0,8,34,7763,2417,46.9,18132,14266,15281,21913,6826,1854,822,00683
ZCTA5 00685,40346,29322,1122,37,21,0,6262,3582,45.7,17481,19505,20841,29680,7033,3337,1141,00685
ZCTA5 00687,28659,12506,1180,0,0,0,2915,12058,41.5,22282,14190,14469,20557,6012,2794,657,00687
ZCTA5 00688,11478,3097,168,0,111,0,6176,1926,42.5,17273,5948,5530,8499,2535,602,173,00688
ZCTA5 00690,5781,4020,204,0,0,0,498,1059,36.6,23343,2785,2996,3910,959,233,172,00690
ZCTA5 00692,33302,11131,2244,0,0,0,8244,11683,41.4,25289,15999,17303,23934,6401,3055,1379,00692
ZCTA5 00693,55570,22455,2736,0,9,0,9757,20613,43.9,23791,26566,29004,40596,11170,4211,1851,00693
ZCTA5 00694,98,0,0,0,0,0,25,73,73.7,-666666666,52,46,98,37,0,12,00694
ZCTA5 00698,33506,24755,915,28,0,0,5065,2743,45.6,19818,15911,17595,24887,8269,2331,1158,00698
ZCTA5 00703,24475,9973,1650,352,0,0,4564,7936,44.1,23045,11773,12702,17526,5332,1923,409,00703
ZCTA5 00704,6831,2054,1352,0,0,0,580,2845,31.7,19845,3275,3556,4441,1823,366,49,00704
ZCTA5 00705,24401,8641,2343,131,0,0,1257,12029,45.7,22679,11649,12752,18225,6092,1776,1036,00705
ZCTA5 00707,10487,967,3840,0,0,0,5005,675,46.0,21765,5168,5319,7976,2271,1135,348,00707
ZCTA5 00714,15797,8438,3091,0,0,0,2041,2227,41.9,18496,7286,8511,11341,3237,1308,514,00714
ZCTA5 00715,2040,801,176,0,0,0,232,831,54.2,16250,1037,1003,1468,625,35,40,00715
ZCTA5 00716,27166,15241,1663,41,20,0,2434,7767,46.7,20184,12174,14992,20164,5196,1581,1268,00716
ZCTA5 00717,15029,7953,908,91,16,0,1637,4424,44.9,14164,6447,8582,10639,2984,959,758,00717
ZCTA5 00718,23289,7887,402,0,23,0,13553,1424,39.7,20414,10914,12375,16428,5743,1855,854,00718
ZCTA5 00719,29523,13615,2285,0,1,0,1464,12158,42.4,20533,14827,14696,21486,4780,2713,716,00719
ZCTA5 00720,20816,9714,1034,54,0,0,2797,7217,41.2,16751,10378,10438,14821,4404,1694,483,00720
ZCTA5 00723,15978,1048,5589,0,0,0,8696,645,47.2,20967,7657,8321,12088,3397,1460,746,00723
ZCTA5 00725,77244,42866,6819,258,170,0,15584,11547,44.8,25786,35626,41618,57037,13869,6126,3358,00725
ZCTA5 00727,53258,29152,4940,102,256,0,10800,8008,42.8,33678,24879,28379,39164,8116,4099,3762,00727
ZCTA5 00728,38590,23528,2520,38,44,0,4279,8181,40.4,21239,19493,19097,27201,7937,2358,1328,00728
ZCTA5 00729,47826,13980,6789,37,319,0,18336,8365,41.9,26978,22725,25101,34785,8629,4684,2113,00729
ZCTA5 00730,32267,15339,1479,7,0,0,2070,13372,44.4,17517,15359,16908,23605,6311,2481,1566,00730
ZCTA5 00731,10473,5495,648,0,0,0,411,3919,47.9,16944,5076,5397,8076,2599,733,223,00731
ZCTA5 00735,11164,2969,637,42,54,0,5982,1480,46.0,23125,5311,5853,8377,2805,872,217,00735
ZCTA5 00736,45867,17863,4117,275,71,0,9574,13967,44.4,27158,22104,23763,34124,10433,2872,1964,00736
ZCTA5 00738,30093,9206,2033,16,47,0,9806,8985,44.2,24643,13946,16147,22085,6587,2270,1120,00738
ZCTA5 00739,34678,13833,3990,197,30,0,8438,8190,42.8,24887,16543,18135,25138,7746,2379,1475,00739
ZCTA5 00740,2034,680,88,0,0,0,799,467,34.0,18784,981,1053,1338,416,65,0,00740
ZCTA5 00741,3627,662,372,0,0,0,2401,192,47.1,23821,1615,2012,2767,951,288,45,00741
ZCTA5 00745,47494,13081,5652,130,169,0,15877,12585,43.8,26189,22776,24718,35044,9179,4430,1594,00745
ZCTA5 00751,19570,5433,3577,44,0,0,1024,9492,45.3,20241,9486,10084,14456,5402,1176,593,00751
ZCTA5 00754,36576,4473,10298,0,112,0,19735,1958,43.7,19528,17827,18749,27094,6700,3224,1371,00754
ZCTA5 00757,20048,5680,3135,29,28,0,674,10502,40.6,22764,9623,10425,14132,5000,1239,640,00757
ZCTA5 00765,8199,1813,579,0,16,0,5234,557,45.3,17062,4179,4020,6017,2556,560,153,00765
ZCTA5 00766,22053,8769,1889,16,0,0,2868,8511,43.1,22511,10664,11389,15600,4912,1802,466,00766
ZCTA5 00767,30779,2463,11410,0,10,0,15928,968,45.7,20126,14844,15935,22827,5634,2747,651,00767
ZCTA5 00769,34374,10696,4506,9,0,0,1316,17847,44.5,20236,16657,17717,25697,9886,2326,923,00769
ZCTA5 00771,34964,3964,11396,23,32,0,18600,949,42.8,23343,16657,18307,25679,5966,3012,1975,00771
ZCTA5 00772,17316,1595,6942,0,13,0,7908,858,42.8,17209,8107,9209,12446,4640,1398,171,00772
ZCTA5 00773,17716,4871,1292,0,48,0,6409,5096,44.5,22585,8285,9431,13012,3887,1501,629,00773
ZCTA5 00775,1186,342,31,0,9,0,759,45,44.6,25483,657,529,812,322,94,11,00775
ZCTA5 00777,37726,12429,8274,75,0,0,10292,6656,39.9,26052,17924,19802,26774,7449,3607,1205,00777
ZCTA5 00778,40476,17069,4566,129,100,0,11903,6709,41.2,39484,19029,21447,29369,5890,3262,1950,00778
ZCTA5 00780,13908,5864,974,0,0,0,954,6116,39.6,26075,6709,7199,9379,2390,1109,736,00780
ZCTA5 00782,18639,9031,1523,0,0,0,1549,6536,41.2,16221,9299,9340,13580,3726,1322,417,00782
ZCTA5 00783,34205,15920,2283,0,0,0,5292,10710,41.8,21701,16575,17630,24568,6733,2795,1043,00783
ZCTA5 00784,35917,20459,3867,19,0,140,3740,7692,40.6,19199,17784,18133,25806,8963,2263,1383,00784
ZCTA5 00786,154,66,67,0,0,0,0,21,61.3,-666666666,72,82,128,41,0,0,00786
ZCTA5 00791,46537,10933,5685,83,235,0,27779,1822,46.0,26002,22051,24486,34490,11810,3676,1887,00791
ZCTA5 00794,28335,15074,2019,16,0,0,2114,9112,39.4,21278,13914,14421,19902,5580,2092,675,00794
ZCTA5 00795,42900,10511,2552,7,1,0,2565,27264,41.9,22579,20289,22611,30840,8565,3605,1631,00795
ZCTA5 00901,8220,4191,977,1,1,7,1136,1907,46.0,27926,4400,3820,6671,1543,406,717,00901
ZCTA5 00906,148,148,0,0,0,0,0,0,35.2,-666666666,80,68,130,0,14,45,00906
ZCTA5 00907,16607,7233,1426,46,169,0,3576,4157,50.7,40293,8240,8367,13957,1787,842,1968,00907
ZCTA5 00909,5260,1763,610,70,15,0,1750,1052,41.6,25778,2537,2723,3748,749,364,300,00909
ZCTA5 00911,7087,2938,493,33,266,0,1628,1729,48.5,38125,3542,3545,5660,660,353,761,00911
ZCTA5 00912,5955,1610,646,13,66,19,2503,1098,48.1,27026,2695,3260,4703,875,331,364,00912
ZCTA5 00913,7068,1954,295,25,66,0,4002,726,28.0,6449,2999,4069,3999,1263,334,161,00913
ZCTA5 00915,24713,3931,3503,45,12,15,14200,3007,42.8,12963,11449,13264,17200,5444,1444,182,00915
ZCTA5 00917,18544,7186,1522,17,65,22,6445,3287,49.2,17086,8466,10078,14337,4040,1819,1117,00917
ZCTA5 00918,15976,6140,782,31,43,24,3417,5539,44.4,35000,7065,8911,12471,1740,1291,1599,00918
ZCTA5 00920,17293,7070,3227,57,0,0,3288,3651,45.0,28562,8058,9235,13131,2523,1699,897,00920
ZCTA5 00921,33555,13228,5116,63,11,0,6298,8839,41.8,21419,15083,18472,24124,5167,3407,1626,00921
ZCTA5 00923,24760,7813,3409,63,41,0,9366,4068,43.6,18389,11175,13585,17634,5177,2479,973,00923
ZCTA5 00924,47080,21429,8481,75,9,0,10311,6775,41.5,21046,20859,26221,33365,7802,4685,2178,00924
ZCTA5 00925,5556,2242,839,35,43,0,1392,1005,41.7,13016,2937,2619,4045,594,360,380,00925
ZCTA5 00926,93751,45307,8818,136,130,0,13814,25546,45.3,38432,42020,51731,70076,10862,7819,7948,00926
ZCTA5 00927,13766,7538,713,71,70,0,1383,3991,48.2,40213,6110,7656,10579,871,1200,1648,00927
ZCTA5 00934,128,69,59,0,0,0,0,0,32.3,-666666666,84,44,74,0,0,10,00934
ZCTA5 00949,68031,28208,4725,261,20,0,22375,12442,42.0,31500,31291,36740,49597,10768,7021,2708,00949
ZCTA5 00950,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,00950
ZCTA5 00951,298,71,88,0,0,0,86,53,46.2,21354,151,147,221,45,34,19,00951
ZCTA5 00952,8168,2613,1401,11,0,0,3184,959,51.6,19392,4066,4102,6306,1461,930,50,00952
ZCTA5 00953,66079,34179,3552,0,117,0,11066,17165,40.8,32957,31605,34474,47473,11634,8704,2624,00953
ZCTA5 00956,65841,23421,4133,67,31,0,15057,23132,44.0,27243,31057,34784,49036,10639,5607,2288,00956
ZCTA5 00957,41009,15222,2572,64,198,0,10618,12335,44.1,28240,18142,22867,29988,6792,3368,1610,00957
ZCTA5 00959,47721,18409,3681,8,79,0,11256,14288,42.3,31603,21365,26356,34624,6711,4687,2505,00959
ZCTA5 00960,3405,886,329,0,0,0,610,1580,36.1,-666666666,3394,11,3052,1320,90,0,00960
ZCTA5 00961,29271,11672,2050,0,33,0,6555,8961,46.8,34141,13728,15543,22437,3999,2679,1802,00961
ZCTA5 00962,19614,7922,2274,51,0,0,1613,7754,41.0,18478,9183,10431,13998,4811,1495,320,00962
ZCTA5 00965,5148,1754,717,5,30,0,691,1951,45.4,15872,2373,2775,3934,1165,328,59,00965
ZCTA5 00966,16451,7083,625,0,38,0,1929,6776,49.3,51732,7673,8778,12468,1362,840,1636,00966
ZCTA5 00968,3554,1695,106,0,13,0,565,1175,57.3,55132,1433,2121,3038,219,190,496,00968
ZCTA5 00969,41784,16656,2260,134,69,0,8096,14569,45.0,55929,19288,22496,32157,3953,2641,4325,00969
ZCTA5 00971,26430,10057,1576,27,0,0,5573,9197,47.1,31484,13222,13208,20513,3926,2235,1231,00971
ZCTA5 00976,61638,33792,8029,65,232,0,6655,12865,44.4,35661,28440,33198,45738,9945,5635,3210,00976
ZCTA5 00979,16890,6952,1152,50,79,0,5315,3342,52.7,34705,8412,8478,13819,2054,1734,1508,00979
ZCTA5 00982,13876,5393,2287,0,129,0,4320,1747,44.3,24244,6186,7690,10065,2354,1531,438,00982
ZCTA5 00983,31816,11616,5039,0,37,0,10017,5107,42.2,30595,14140,17676,22811,6270,2899,1118,00983
ZCTA5 00985,32265,11001,5185,0,65,0,10836,5178,47.7,33270,14346,17919,24791,6876,3489,1189,00985
ZCTA5 00987,54109,18382,6692,55,129,18,17893,10940,41.1,36396,24952,29157,39185,8353,5858,2896,00987
ZCTA5 01001,16045,14384,530,0,489,0,145,497,45.9,73398,7872,8173,12264,3187,1399,1282,01001
ZCTA5 01002,22992,16777,942,19,2085,119,486,2564,26.4,74265,11654,11338,11848,1024,568,3341,01002
ZCTA5 01003,11989,7809,653,0,2439,0,54,1034,19.8,-666666666,5680,6309,100,3,34,22,01003
ZCTA5 01005,4837,4575,55,0,0,0,0,207,44.4,97409,2230,2607,3402,1220,196,552,01005
ZCTA5 01007,15368,13857,171,0,497,0,277,566,44.0,99500,7406,7962,11373,2506,1517,1847,01007
ZCTA5 01008,1231,1211,0,2,0,0,0,18,50.2,93405,620,611,964,327,135,95,01008
ZCTA5 01009,699,699,0,0,0,0,0,0,31.1,68510,364,335,494,80,21,21,01009
ZCTA5 01010,3699,2985,166,0,7,0,71,470,45.5,88438,2037,1662,2743,559,301,265,01010
ZCTA5 01011,1318,1279,0,0,0,0,23,16,47.1,80640,621,697,950,440,82,91,01011
ZCTA5 01012,440,430,0,0,0,0,0,10,54.5,73906,224,216,353,108,33,15,01012
ZCTA5 01013,22895,15768,1291,25,489,0,3082,2240,39.0,62000,10639,12256,15558,4252,1351,1167,01013
ZCTA5 01020,30417,25085,1549,2,674,0,985,2122,44.0,67617,15394,15023,22485,7047,2386,1450,01020
ZCTA5 01022,2144,1584,315,0,65,0,78,102,39.3,52207,953,1191,1565,457,120,144,01022
ZCTA5 01026,1073,1024,6,1,0,0,4,38,51.2,83875,572,501,822,109,79,138,01026
ZCTA5 01027,17711,15582,107,0,269,5,305,1443,47.5,69337,8716,8995,13760,2907,1265,1994,01027
ZCTA5 01028,16273,14448,433,0,219,0,302,871,43.7,100610,7706,8567,11388,2324,1253,1504,01028
ZCTA5 01029,527,521,0,1,0,0,0,5,56.8,93125,328,199,420,118,28,18,01029
ZCTA5 01030,12561,11721,155,0,81,0,147,457,46.1,87324,6157,6404,9081,2534,918,1043,01030
ZCTA5 01031,1697,1501,0,0,0,0,59,137,35.5,51250,939,758,1075,352,104,112,01031
ZCTA5 01032,484,479,0,0,0,0,5,0,55.3,88077,223,261,386,70,31,60,01032
ZCTA5 01033,6096,5782,122,0,31,0,18,143,48.3,102248,3032,3064,4748,1053,548,544,01033
ZCTA5 01034,2065,1953,21,5,12,0,0,74,50.2,104583,1065,1000,1586,351,192,149,01034
ZCTA5 01035,5295,4849,5,0,129,0,36,276,48.7,112450,2476,2819,4101,621,174,619,01035
ZCTA5 01036,4966,4618,0,18,22,0,138,170,55.3,110320,2477,2489,3973,896,609,509,01036
ZCTA5 01037,582,547,1,1,11,0,0,22,62.0,78047,307,275,467,123,45,29,01037
ZCTA5 01038,2469,2146,0,30,25,0,149,119,48.5,103125,1235,1234,1807,279,186,257,01038
ZCTA5 01039,1728,1635,23,23,0,0,7,40,52.8,109167,730,998,1375,165,59,328,01039
ZCTA5 01040,38210,25804,1758,197,310,0,2853,7288,37.5,49007,18805,19405,25805,6744,2343,1639,01040
ZCTA5 01050,2714,2589,35,7,0,0,3,80,44.4,84333,1336,1378,1965,537,170,181,01050
ZCTA5 01053,1885,1653,165,0,6,0,38,23,57.1,60875,900,985,1543,361,94,269,01053
ZCTA5 01054,1793,1610,10,0,67,0,7,99,49.0,105833,846,947,1409,185,69,368,01054
ZCTA5 01056,20883,18474,255,0,219,0,479,1456,44.6,76395,10677,10206,15470,4343,1874,911,01056
ZCTA5 01057,8215,7775,49,0,168,0,57,166,49.6,85614,4130,4085,6286,1900,684,550,01057
ZCTA5 01060,14724,12648,154,36,493,6,649,738,42.2,79604,6563,8161,11405,857,555,2965,01060
ZCTA5 01062,9491,8408,157,10,121,0,301,494,49.6,87409,4533,4958,7276,905,659,1382,01062
ZCTA5 01063,2089,1352,111,0,458,0,10,158,19.9,-666666666,14,2075,10,0,0,0,01063
ZCTA5 01066,134,134,0,0,0,0,0,0,49.4,20202,39,95,127,51,32,0,01066
ZCTA5 01068,1585,1481,21,0,0,0,10,73,49.3,93906,775,810,1197,247,130,156,01068
ZCTA5 01069,8516,7389,237,0,151,0,83,656,51.5,71439,4341,4175,6490,1555,544,390,01069
ZCTA5 01070,571,507,1,9,1,0,1,52,55.6,60313,267,304,448,115,33,98,01070
ZCTA5 01071,1259,1170,30,0,1,0,8,50,47.0,105417,672,587,929,362,144,48,01071
ZCTA5 01072,1413,1290,6,0,12,0,13,92,53.5,99000,637,776,1143,163,90,241,01072
ZCTA5 01073,6185,5641,21,0,110,0,7,406,47.8,114531,3357,2828,4709,852,700,596,01073
ZCTA5 01074,694,664,0,0,0,0,0,30,34.9,88190,281,413,462,205,67,28,01074
ZCTA5 01075,17115,15127,229,0,866,0,107,786,44.6,92740,7309,9806,11784,2361,1202,1900,01075
ZCTA5 01077,9244,8607,22,40,105,0,188,282,47.8,106779,4665,4579,6826,1981,761,910,01077
ZCTA5 01079,640,604,1,0,0,0,35,0,48.7,-666666666,289,351,456,172,64,28,01079
ZCTA5 01080,2674,2076,88,0,20,0,256,234,36.4,89335,1390,1284,1833,664,186,54,01080
ZCTA5 01081,1716,1633,9,2,2,3,3,64,42.4,88636,882,834,1248,445,111,79,01081
ZCTA5 01082,10533,9685,295,0,1,0,185,367,42.9,66607,5113,5420,7467,2584,718,479,01082
ZCTA5 01083,2539,2243,23,0,163,0,0,110,35.0,87511,1569,970,1696,672,102,170,01083
ZCTA5 01084,99,99,0,0,0,0,0,0,51.4,86538,46,53,84,19,0,10,01084
ZCTA5 01085,41592,35627,632,16,1832,11,1580,1894,39.4,78901,19903,21689,28203,7147,3335,2655,01085
ZCTA5 01088,725,693,0,0,32,0,0,0,31.4,51591,328,397,553,98,57,60,01088
ZCTA5 01089,28755,23198,1016,68,1530,0,961,1982,38.7,67297,13952,14803,20609,4906,1923,2235,01089
ZCTA5 01092,1428,1398,30,0,0,0,0,0,36.4,69048,691,737,1048,269,67,93,01092
ZCTA5 01093,145,145,0,0,0,0,0,0,54.4,130781,68,77,123,51,6,4,01093
ZCTA5 01094,44,44,0,0,0,0,0,0,52.2,87188,15,29,38,12,0,0,01094
ZCTA5 01095,14673,13153,555,0,224,15,82,644,44.7,126689,7136,7537,10549,1999,1014,2280,01095
ZCTA5 01096,2516,2408,21,14,1,0,0,72,47.9,106250,1261,1255,2007,415,188,387,01096
ZCTA5 01097,36,36,0,0,0,0,0,0,33.8,-666666666,4,32,28,16,12,0,01097
ZCTA5 01098,951,923,0,0,0,0,5,23,61.1,91181,462,489,807,199,59,135,01098
ZCTA5 01103,2245,1002,496,24,69,0,235,419,36.5,21288,941,1304,1740,262,93,245,01103
ZCTA5 01104,22606,9903,3125,33,158,0,3114,6273,34.7,47413,9850,12756,14345,3910,1253,816,01104
ZCTA5 01105,12045,4019,2137,1,22,0,1884,3982,28.1,23948,6265,5780,6803,1861,623,140,01105
ZCTA5 01106,16019,14148,206,0,926,0,59,680,45.1,137597,7416,8603,11174,1110,843,2018,01106
ZCTA5 01107,12443,5087,1444,4,191,0,2953,2764,27.4,30825,6078,6365,6874,1729,417,330,01107
ZCTA5 01108,26198,11877,4745,77,1797,0,3087,4615,34.6,48465,12095,14103,17434,4286,1127,1086,01108
ZCTA5 01109,31301,11441,11227,343,425,0,3712,4153,29.0,42928,15867,15434,17489,4438,1519,934,01109
ZCTA5 01118,15112,9067,2729,76,797,0,617,1826,37.7,78354,7452,7660,10265,2304,1241,1125,01118
ZCTA5 01119,14182,7541,3237,73,640,0,1173,1518,36.2,54326,7020,7162,9201,3316,906,503,01119
ZCTA5 01128,3063,2224,264,0,101,0,170,304,39.2,77050,1420,1643,2119,572,151,294,01128
ZCTA5 01129,6486,4235,793,17,163,0,412,866,42.8,80352,3258,3228,4896,1199,564,417,01129
ZCTA5 01144,0,0,0,0,0,0,0,0,-666666666.0,-666666666,0,0,0,0,0,0,01144
ZCTA5 01151,9467,4899,1677,0,108,0,777,2006,33.9,51410,4395,5072,6237,1665,438,231,01151
ZCTA5 01201,45188,37269,2599,68,566,12,1318,3356,43.8,67262,22501,22687,33807,8099,3087,3373,01201
ZCTA5 01220,8149,7712,28,3,62,0,54,290,48.2,54677,3923,4226,6399,2191,635,319,01220
ZCTA5 01222,623,623,0,0,0,0,0,0,42.6,78077,280,343,471,85,74,29,01222
ZCTA5 01223,2565,2359,38,4,8,0,15,141,50.5,79226,1394,1171,2053,519,262,292,01223
ZCTA5 01224,124,124,0,0,0,0,0,0,57.1,-666666666,47,77,101,49,0,10,01224
ZCTA5 01225,3239,2920,26,11,79,0,0,203,52.1,72485,1645,1594,2543,556,295,207,01225
ZCTA5 01226,6332,5998,19,0,73,0,10,232,49.8,76198,3003,3329,4748,1292,385,625,01226
ZCTA5 01229,125,125,0,0,0,0,0,0,73.3,-666666666,56,69,104,27,1,0,01229
ZCTA5 01230,9095,8199,209,23,50,3,249,362,48.4,73884,4300,4795,6609,1637,748,980,01230
ZCTA5 01235,2461,2283,12,6,0,12,26,122,51.1,71641,1185,1276,1963,619,162,143,01235
ZCTA5 01236,1625,1300,13,0,257,0,0,55,55.3,113958,894,731,1272,231,110,278,01236
ZCTA5 01237,2451,2414,25,0,0,0,4,8,50.3,86300,1200,1251,1819,473,146,370,01237
ZCTA5 01238,5928,5431,36,15,140,0,143,163,50.8,77679,2810,3118,4670,1117,451,1003,01238
ZCTA5 01240,4922,4522,78,16,13,0,141,152,58.1,82578,2298,2624,3814,869,160,483,01240
ZCTA5 01242,255,255,0,0,0,0,0,0,40.7,-666666666,31,224,167,0,3,25,01242
ZCTA5 01243,135,122,0,6,0,0,0,7,59.6,79167,75,60,126,34,10,17,01243
ZCTA5 01244,158,158,0,0,0,0,0,0,58.8,56842,69,89,144,40,3,13,01244
ZCTA5 01245,828,790,3,0,3,0,24,8,64.4,111354,397,431,653,51,34,85,01245
ZCTA5 01247,15279,13663,225,33,436,0,349,573,44.9,53692,7767,7512,10781,3161,884,975,01247
ZCTA5 01253,818,792,0,0,0,0,0,26,53.0,102596,393,425,723,156,55,110,01253
ZCTA5 01254,961,887,43,0,14,0,0,17,61.8,91667,432,529,835,154,41,135,01254
ZCTA5 01255,931,841,16,0,6,0,0,68,48.9,73958,468,463,711,177,41,83,01255
ZCTA5 01256,620,584,27,1,0,0,0,8,54.1,54219,320,300,486,171,45,19,01256
ZCTA5 01257,2230,2123,1,0,46,0,11,49,58.1,78940,1091,1139,1814,472,163,212,01257
ZCTA5 01258,188,183,0,0,0,0,0,5,55.6,117917,97,91,164,20,9,21,01258
ZCTA5 01259,733,682,38,0,0,0,7,6,42.8,120568,318,415,456,75,34,81,01259
ZCTA5 01260,20,20,0,0,0,0,0,0,-666666666.0,-666666666,9,11,20,20,0,0,01260
ZCTA5 01262,1785,1631,67,5,39,0,0,43,60.3,75804,925,860,1478,274,123,356,01262
ZCTA5 01264,207,204,0,0,0,0,0,3,63.4,78750,92,115,178,36,15,30,01264
ZCTA5 01266,952,903,1,17,12,0,0,19,56.0,85714,476,476,771,126,18,200,01266
ZCTA5 01267,8142,6884,270,8,393,0,98,489,34.1,101823,3689,4453,4558,607,185,1143,01267
ZCTA5 01270,999,843,0,0,7,0,0,149,44.2,100833,517,482,743,165,83,97,01270
ZCTA5 01301,17880,15971,430,18,305,8,588,560,44.3,53536,8821,9059,13355,3178,1478,1369,01301
ZCTA5 01330,1607,1436,1,0,16,0,50,104,58.1,80560,862,745,1355,268,158,272,01330
ZCTA5 01331,13845,12914,67,10,86,0,302,466,44.0,66985,6992,6853,9931,2872,1050,490,01331
ZCTA5 01337,2470,2340,2,1,21,0,14,92,49.8,79000,1242,1228,1946,550,249,204,01337
ZCTA5 01338,65,60,0,0,0,0,5,0,72.5,56250,41,24,60,32,0,10,01338
ZCTA5 01339,1396,1343,0,0,27,0,0,26,56.9,69500,705,691,1165,292,175,108,01339
ZCTA5 01340,1890,1799,11,0,11,0,0,69,50.8,74632,997,893,1448,431,119,221,01340
ZCTA5 01341,1620,1560,0,4,7,0,7,42,54.0,92500,762,858,1289,187,163,302,01341
ZCTA5 01342,1321,990,43,0,4,0,0,284,36.8,99583,774,547,955,208,25,218,01342
ZCTA5 01343,167,158,0,0,0,0,9,0,43.7,76250,81,86,127,42,6,0,01343
ZCTA5 01344,1631,1544,20,7,0,0,0,60,43.2,70560,783,848,1170,398,95,79,01344
ZCTA5 01346,409,372,0,0,9,0,0,28,58.3,105944,231,178,319,91,31,39,01346
ZCTA5 01347,197,139,0,0,34,0,24,0,29.5,74712,30,167,153,0,30,13,01347
ZCTA5 01349,764,656,0,5,15,0,0,88,43.1,70240,372,392,537,108,12,33,01349
